transaction_id,customer_id,transaction_date,amount,currency,transaction_type,merchant,category,payment_method,status
TXN_00000033,CUST_000688,2024-10-15 09:55:56,307.0,USD,purchase,Amazon,utilities,credit_card,completed
TXN_00000034,CUST_000219,2024-12-25 09:55:56,272.55,GBP,purchase,Best Buy,entertainment,paypal,completed
TXN_00000035,CUST_000854,2024-12-06 09:55:56,706.5,USD,purchase,Costco,transportation,credit_card,pending
TXN_00000036,CUST_000138,2025-04-28 09:55:56,124.27,USD,refund,Costco,entertainment,debit_card,completed
TXN_00000037,CUST_000209,2024-09-24 09:55:56,637.9,USD,deposit,Costco,retail,credit_card,completed
TXN_00000038,CUST_000850,2025-04-22 09:55:56,53.65,USD,refund,Costco,food,bank_transfer,completed
TXN_00000039,CUST_000438,2024-11-27 09:55:56,19.57,USD,refund,Amazon,entertainment,debit_card,completed
TXN_00000040,CUST_000043,2025-04-06 09:55:56,371.01,GBP,purchase,Home Depot,food,debit_card,completed
TXN_00000041,CUST_000363,2024-11-28 09:55:56,885.29,USD,refund,Best Buy,food,debit_card,pending
TXN_00000042,CUST_000026,2025-06-11 09:55:56,739.2,USD,deposit,Best Buy,entertainment,debit_card,completed
TXN_00000043,CUST_000111,2025-02-27 09:55:56,873.45,EUR,refund,Best Buy,utilities,paypal,completed
TXN_00000044,CUST_000815,2025-05-17 09:55:56,230.69,USD,deposit,Home Depot,entertainment,credit_card,failed
TXN_00000045,CUST_000286,2025-03-15 09:55:56,645.07,USD,transfer,Amazon,retail,paypal,completed
TXN_00000046,CUST_000986,2025-04-28 09:55:56,47.87,USD,transfer,Home Depot,utilities,credit_card,completed
TXN_00000047,CUST_000591,2025-06-05 09:55:56,262.18,EUR,purchase,Best Buy,entertainment,bank_transfer,completed
TXN_00000048,CUST_000681,2025-03-25 09:55:56,626.92,USD,purchase,Costco,healthcare,paypal,completed
TXN_00000049,CUST_000335,2025-02-16 09:55:56,700.24,USD,refund,Starbucks,transportation,bank_transfer,completed
TXN_00000050,CUST_000925,2025-06-13 09:55:56,619.36,USD,purchase,Costco,entertainment,debit_card,completed
TXN_00000051,CUST_000594,2024-11-04 09:55:56,658.16,USD,deposit,Best Buy,healthcare,bank_transfer,completed
TXN_00000052,CUST_000983,2025-06-16 09:55:56,662.26,USD,transfer,Walmart,food,paypal,completed
TXN_00000053,CUST_000204,2025-06-27 09:55:56,34.18,USD,deposit,Walmart,utilities,bank_transfer,pending
TXN_00000054,CUST_000590,2025-06-03 09:55:56,721.16,USD,deposit,Best Buy,food,credit_card,pending
TXN_00000055,CUST_000882,2025-07-18 09:55:56,780.64,USD,deposit,Amazon,healthcare,debit_card,pending
TXN_00000056,CUST_000125,2025-01-20 09:55:56,142.01,USD,transfer,McDonald's,healthcare,bank_transfer,completed
TXN_00000057,CUST_000562,2025-01-25 09:55:56,898.24,EUR,deposit,McDonald's,entertainment,debit_card,completed
TXN_00000058,CUST_000284,2024-12-18 09:55:56,489.75,USD,deposit,Walmart,transportation,paypal,completed
TXN_00000059,CUST_000344,2025-03-31 09:55:56,894.1,USD,refund,Best Buy,utilities,debit_card,completed
TXN_00000060,CUST_000066,2025-02-10 09:55:56,413.52,USD,deposit,Amazon,food,bank_transfer,completed
TXN_00000061,CUST_000789,2024-11-15 09:55:56,946.6,USD,deposit,McDonald's,retail,paypal,completed
TXN_00000062,CUST_000400,2025-02-08 09:55:56,542.84,EUR,refund,McDonald's,food,paypal,completed
TXN_00000063,CUST_000030,2025-02-23 09:55:56,342.77,USD,deposit,Target,utilities,debit_card,failed
TXN_00000064,CUST_000547,2025-08-28 09:55:56,907.86,USD,purchase,Walmart,transportation,bank_transfer,completed
TXN_00000065,CUST_000473,2025-06-09 09:55:56,59.78,USD,refund,McDonald's,entertainment,paypal,completed
TXN_00000066,CUST_000389,2025-04-21 09:55:56,754.49,EUR,transfer,Walmart,utilities,credit_card,completed
TXN_00000067,CUST_000054,2025-03-15 09:55:56,231.98,USD,purchase,Amazon,food,debit_card,completed
TXN_00000068,CUST_000637,2025-06-24 09:55:56,246.16,USD,purchase,Best Buy,utilities,paypal,completed
TXN_00000069,CUST_000172,2024-11-04 09:55:56,611.18,EUR,purchase,Target,entertainment,credit_card,completed
TXN_00000070,CUST_000952,2025-04-04 09:55:56,580.04,GBP,deposit,Starbucks,transportation,debit_card,completed
TXN_00000071,CUST_000708,2024-10-24 09:55:56,250.42,USD,transfer,Walmart,healthcare,credit_card,completed
TXN_00000072,CUST_000439,2024-10-07 09:55:56,376.87,USD,transfer,Amazon,utilities,bank_transfer,completed
TXN_00000073,CUST_000984,2025-03-09 09:55:56,639.23,EUR,refund,Starbucks,food,paypal,completed
TXN_00000074,CUST_000942,2024-12-09 09:55:56,776.9,USD,transfer,Home Depot,food,credit_card,completed
TXN_00000075,CUST_000462,2025-05-09 09:55:56,752.97,USD,deposit,Home Depot,retail,bank_transfer,pending
TXN_00000076,CUST_000187,2025-01-04 09:55:56,220.0,EUR,transfer,Costco,healthcare,paypal,completed
TXN_00000077,CUST_000530,2025-06-05 09:55:56,94.76,EUR,deposit,Best Buy,transportation,bank_transfer,completed
TXN_00000078,CUST_000503,2025-01-24 09:55:56,795.0,USD,refund,Starbucks,transportation,debit_card,completed
TXN_00000079,CUST_000596,2025-03-06 09:55:56,478.53,USD,deposit,Home Depot,entertainment,bank_transfer,completed
TXN_00000080,CUST_000258,2025-05-15 09:55:56,129.45,USD,purchase,Target,food,debit_card,completed
TXN_00000081,CUST_000284,2024-11-13 09:55:56,976.84,USD,transfer,Walmart,food,paypal,completed
TXN_00000082,CUST_000184,2025-04-09 09:55:56,24.01,USD,transfer,Amazon,retail,paypal,completed
TXN_00000083,CUST_000130,2024-10-19 09:55:56,869.78,USD,purchase,Costco,utilities,bank_transfer,completed
TXN_00000084,CUST_000189,2025-08-15 09:55:56,259.95,EUR,purchase,Walmart,utilities,bank_transfer,completed
TXN_00000085,CUST_000645,2024-09-24 09:55:56,63.07,USD,transfer,Walmart,food,credit_card,completed
TXN_00000086,CUST_000427,2024-11-04 09:55:56,600.17,USD,deposit,McDonald's,utilities,paypal,pending
TXN_00000087,CUST_000440,2025-04-07 09:55:56,572.94,USD,purchase,Best Buy,transportation,debit_card,completed
TXN_00000088,CUST_000084,2025-06-22 09:55:56,247.47,USD,refund,Amazon,utilities,bank_transfer,completed
TXN_00000089,CUST_000482,2025-04-14 09:55:56,42.31,USD,transfer,McDonald's,retail,debit_card,pending
TXN_00000090,CUST_000807,2024-10-25 09:55:56,593.89,EUR,refund,Starbucks,retail,debit_card,completed
TXN_00000091,CUST_000931,2025-04-27 09:55:56,828.36,USD,refund,Costco,healthcare,paypal,completed
TXN_00000092,CUST_000480,2024-09-23 09:55:56,311.05,USD,transfer,McDonald's,utilities,credit_card,completed
TXN_00000093,CUST_000911,2025-02-01 09:55:56,737.19,USD,purchase,Walmart,food,credit_card,failed
TXN_00000094,CUST_000689,2025-04-26 09:55:56,580.48,EUR,refund,McDonald's,healthcare,bank_transfer,pending
TXN_00000095,CUST_000186,2024-11-15 09:55:56,441.53,EUR,purchase,McDonald's,entertainment,bank_transfer,completed
TXN_00000096,CUST_000687,2025-07-19 09:55:56,859.16,USD,deposit,Costco,transportation,bank_transfer,completed
TXN_00000097,CUST_000564,2025-08-23 09:55:56,460.28,USD,transfer,Walmart,utilities,credit_card,completed
TXN_00000098,CUST_000556,2025-01-17 09:55:56,419.12,USD,transfer,McDonald's,transportation,bank_transfer,completed
TXN_00000099,CUST_000209,2025-04-27 09:55:56,553.73,GBP,deposit,McDonald's,retail,credit_card,failed
TXN_00000100,CUST_000624,2025-05-11 09:55:56,712.68,USD,purchase,Starbucks,retail,debit_card,failed
TXN_00000101,CUST_000935,2025-07-14 09:55:56,466.83,USD,refund,McDonald's,transportation,paypal,completed
TXN_00000102,CUST_000280,2025-02-10 09:55:56,836.38,GBP,refund,McDonald's,healthcare,debit_card,completed
TXN_00000103,CUST_000944,2024-11-08 09:55:56,513.16,EUR,purchase,Costco,utilities,paypal,pending
TXN_00000104,CUST_000520,2025-04-27 09:55:56,822.34,USD,transfer,McDonald's,food,bank_transfer,completed
TXN_00000105,CUST_000354,2025-03-24 09:55:56,556.4,USD,deposit,Home Depot,food,debit_card,completed
TXN_00000106,CUST_000240,2025-02-12 09:55:56,53.21,EUR,deposit,Starbucks,transportation,debit_card,completed
TXN_00000107,CUST_000038,2025-07-08 09:55:56,507.27,USD,purchase,McDonald's,retail,bank_transfer,completed
TXN_00000108,CUST_000148,2025-02-13 09:55:56,872.22,GBP,purchase,McDonald's,entertainment,paypal,completed
TXN_00000109,CUST_000408,2024-10-13 09:55:56,89.51,USD,deposit,Home Depot,transportation,bank_transfer,pending
TXN_00000110,CUST_000037,2024-10-29 09:55:56,77.74,USD,transfer,Best Buy,transportation,credit_card,completed
TXN_00000111,CUST_000101,2024-10-21 09:55:56,706.85,USD,refund,Costco,retail,credit_card,completed
TXN_00000112,CUST_000058,2025-04-13 09:55:56,364.88,USD,refund,Starbucks,healthcare,debit_card,completed
TXN_00000113,CUST_000081,2024-11-02 09:55:56,872.13,USD,refund,McDonald's,healthcare,debit_card,completed
TXN_00000114,CUST_000654,2025-05-03 09:55:56,464.97,USD,deposit,Costco,transportation,debit_card,completed
TXN_00000115,CUST_000968,2025-03-18 09:55:56,987.78,USD,deposit,Costco,utilities,paypal,completed
TXN_00000116,CUST_000394,2025-01-06 09:55:56,115.59,USD,transfer,Costco,transportation,paypal,completed
TXN_00000117,CUST_000850,2024-10-08 09:55:56,401.85,USD,purchase,McDonald's,entertainment,debit_card,completed
TXN_00000118,CUST_000361,2025-05-21 09:55:56,640.25,USD,refund,Walmart,transportation,credit_card,completed
TXN_00000119,CUST_000452,2025-08-24 09:55:56,583.78,EUR,purchase,Costco,entertainment,bank_transfer,completed
TXN_00000120,CUST_000136,2024-12-08 09:55:56,877.7,USD,transfer,Target,entertainment,bank_transfer,failed
TXN_00000121,CUST_000303,2025-03-21 09:55:56,806.19,USD,purchase,Target,food,bank_transfer,failed
TXN_00000122,CUST_000824,2024-11-29 09:55:56,372.12,EUR,purchase,Costco,healthcare,credit_card,completed
TXN_00000123,CUST_000689,2024-10-01 09:55:56,269.54,USD,transfer,Walmart,transportation,debit_card,completed
TXN_00000124,CUST_000635,2024-11-27 09:55:56,334.73,USD,purchase,McDonald's,transportation,paypal,completed
TXN_00000125,CUST_000120,2025-07-01 09:55:56,54.89,USD,deposit,Walmart,retail,debit_card,pending
TXN_00000126,CUST_000139,2025-02-24 09:55:56,459.11,USD,deposit,Target,utilities,credit_card,completed
TXN_00000127,CUST_000631,2025-02-14 09:55:56,939.66,USD,transfer,Best Buy,utilities,bank_transfer,failed
TXN_00000128,CUST_000876,2025-03-09 09:55:56,108.36,USD,transfer,Amazon,utilities,paypal,completed
TXN_00000129,CUST_000126,2025-01-21 09:55:56,100.76,USD,purchase,Amazon,entertainment,debit_card,failed
TXN_00000130,CUST_000806,2024-11-25 09:55:56,213.15,EUR,refund,Best Buy,food,paypal,completed
TXN_00000131,CUST_000808,2024-11-09 09:55:56,12.81,EUR,refund,Target,healthcare,paypal,completed
TXN_00000132,CUST_000113,2024-10-07 09:55:56,867.78,USD,transfer,Best Buy,healthcare,paypal,completed
TXN_00000133,CUST_000272,2025-08-15 09:55:56,135.49,USD,purchase,Walmart,utilities,bank_transfer,completed
TXN_00000134,CUST_000526,2024-11-11 09:55:56,117.96,USD,purchase,Costco,utilities,credit_card,completed
TXN_00000135,CUST_000491,2025-02-17 09:55:56,432.01,USD,deposit,Walmart,retail,paypal,completed
TXN_00000136,CUST_000068,2025-07-08 09:55:56,282.27,USD,transfer,Starbucks,healthcare,paypal,completed
TXN_00000137,CUST_000620,2025-02-02 09:55:56,108.19,EUR,refund,Starbucks,utilities,debit_card,completed
TXN_00000138,CUST_000848,2025-01-21 09:55:56,404.74,EUR,transfer,Starbucks,entertainment,paypal,completed
TXN_00000139,CUST_000157,2024-09-24 09:55:56,923.76,USD,purchase,Walmart,utilities,credit_card,completed
TXN_00000140,CUST_000382,2025-07-06 09:55:56,560.81,USD,transfer,Walmart,utilities,paypal,pending
TXN_00000141,CUST_000964,2025-02-06 09:55:56,869.41,EUR,transfer,Costco,entertainment,credit_card,completed
TXN_00000142,CUST_000218,2025-06-23 09:55:56,660.17,USD,purchase,Home Depot,healthcare,paypal,completed
TXN_00000143,CUST_000286,2024-11-21 09:55:56,233.9,USD,purchase,Costco,retail,debit_card,completed
TXN_00000144,CUST_000781,2025-04-05 09:55:56,922.32,USD,refund,Target,healthcare,bank_transfer,completed
TXN_00000145,CUST_000759,2024-10-21 09:55:56,972.09,USD,refund,Starbucks,utilities,bank_transfer,completed
TXN_00000146,CUST_000379,2025-04-04 09:55:56,724.38,EUR,purchase,Amazon,food,debit_card,completed
TXN_00000147,CUST_000051,2024-09-30 09:55:56,90.77,USD,deposit,McDonald's,healthcare,bank_transfer,completed
TXN_00000148,CUST_000221,2024-12-22 09:55:56,122.68,USD,transfer,McDonald's,healthcare,paypal,completed
TXN_00000149,CUST_000405,2024-11-08 09:55:56,64.23,USD,refund,Target,entertainment,paypal,completed
TXN_00000150,CUST_000008,2024-12-30 09:55:56,749.54,USD,deposit,Best Buy,healthcare,paypal,completed
TXN_00000151,CUST_000883,2025-08-20 09:55:56,441.86,USD,purchase,Home Depot,healthcare,bank_transfer,completed
TXN_00000152,CUST_000727,2024-10-18 09:55:56,423.52,USD,purchase,Home Depot,food,bank_transfer,completed
TXN_00000153,CUST_000942,2025-03-09 09:55:56,97.25,EUR,refund,Starbucks,healthcare,bank_transfer,completed
TXN_00000154,CUST_000406,2025-04-05 09:55:56,748.35,USD,refund,Walmart,healthcare,credit_card,completed
TXN_00000155,CUST_000199,2025-03-16 09:55:56,357.59,GBP,refund,Best Buy,retail,debit_card,completed
TXN_00000156,CUST_000178,2024-11-06 09:55:56,161.34,EUR,purchase,Target,transportation,bank_transfer,completed
TXN_00000157,CUST_000578,2024-11-18 09:55:56,454.42,GBP,transfer,Home Depot,food,bank_transfer,completed
TXN_00000158,CUST_000453,2024-10-22 09:55:56,309.79,USD,purchase,Home Depot,healthcare,credit_card,completed
TXN_00000159,CUST_000463,2025-08-22 09:55:56,66.32,EUR,purchase,Walmart,healthcare,bank_transfer,completed
TXN_00000160,CUST_000568,2025-08-20 09:55:56,455.24,EUR,refund,Home Depot,healthcare,bank_transfer,completed
TXN_00000161,CUST_000981,2025-08-10 09:55:56,456.02,EUR,transfer,Walmart,healthcare,debit_card,completed
TXN_00000162,CUST_000725,2025-01-29 09:55:56,991.08,USD,refund,Home Depot,entertainment,paypal,completed
TXN_00000163,CUST_000794,2025-03-21 09:55:56,682.11,USD,transfer,Walmart,entertainment,credit_card,completed
TXN_00000164,CUST_000396,2025-04-18 09:55:56,259.48,EUR,refund,Home Depot,retail,debit_card,pending
TXN_00000165,CUST_000318,2024-10-10 09:55:56,701.5,USD,purchase,Costco,healthcare,bank_transfer,completed
TXN_00000166,CUST_000337,2025-07-07 09:55:56,673.42,EUR,purchase,Starbucks,healthcare,paypal,completed
TXN_00000167,CUST_000317,2025-06-10 09:55:56,951.66,USD,deposit,Best Buy,food,debit_card,completed
TXN_00000168,CUST_000303,2025-07-21 09:55:56,512.61,USD,purchase,Home Depot,healthcare,debit_card,completed
TXN_00000169,CUST_000158,2025-06-19 09:55:56,189.04,USD,refund,McDonald's,retail,bank_transfer,completed
TXN_00000170,CUST_000737,2025-05-12 09:55:56,969.89,USD,deposit,Best Buy,healthcare,debit_card,completed
TXN_00000171,CUST_000829,2025-01-13 09:55:56,904.93,USD,deposit,McDonald's,entertainment,bank_transfer,completed
TXN_00000172,CUST_000429,2025-06-20 09:55:56,818.72,EUR,refund,Costco,retail,bank_transfer,pending
TXN_00000173,CUST_000568,2025-07-20 09:55:56,714.29,USD,purchase,Costco,retail,debit_card,completed
TXN_00000174,CUST_000928,2024-12-22 09:55:56,155.88,USD,refund,McDonald's,entertainment,credit_card,completed
TXN_00000175,CUST_000406,2024-12-27 09:55:56,380.22,USD,purchase,Home Depot,food,credit_card,completed
TXN_00000176,CUST_000102,2024-09-10 09:55:56,653.46,EUR,refund,Amazon,entertainment,bank_transfer,completed
TXN_00000177,CUST_000143,2024-09-14 09:55:56,474.42,USD,purchase,Amazon,entertainment,debit_card,completed
TXN_00000178,CUST_000562,2024-11-03 09:55:56,532.49,USD,transfer,Best Buy,entertainment,credit_card,completed
TXN_00000179,CUST_000430,2024-10-18 09:55:56,795.96,USD,purchase,McDonald's,healthcare,credit_card,completed
TXN_00000180,CUST_000589,2025-05-10 09:55:56,721.36,USD,purchase,Home Depot,food,bank_transfer,completed
TXN_00000181,CUST_000685,2025-07-29 09:55:56,528.25,USD,purchase,Starbucks,utilities,credit_card,completed
TXN_00000182,CUST_000383,2025-05-04 09:55:56,749.84,USD,purchase,Home Depot,food,credit_card,completed
TXN_00000183,CUST_000753,2025-03-24 09:55:56,142.08,USD,transfer,Target,transportation,bank_transfer,failed
TXN_00000184,CUST_000491,2024-10-22 09:55:56,190.46,USD,deposit,Amazon,entertainment,debit_card,completed
TXN_00000185,CUST_000205,2025-08-20 09:55:56,322.44,USD,deposit,McDonald's,entertainment,credit_card,completed
TXN_00000186,CUST_000196,2025-04-17 09:55:56,363.4,EUR,transfer,Costco,retail,paypal,completed
TXN_00000187,CUST_000410,2025-01-28 09:55:56,895.69,USD,refund,McDonald's,transportation,bank_transfer,completed
TXN_00000188,CUST_000817,2024-12-19 09:55:56,274.05,USD,deposit,Walmart,utilities,debit_card,completed
TXN_00000189,CUST_000329,2025-07-20 09:55:56,89.27,USD,transfer,McDonald's,healthcare,bank_transfer,completed
TXN_00000190,CUST_000455,2025-03-15 09:55:56,452.66,EUR,transfer,Starbucks,entertainment,credit_card,completed
TXN_00000191,CUST_000653,2025-02-15 09:55:56,369.68,EUR,refund,Amazon,food,bank_transfer,completed
TXN_00000192,CUST_000069,2025-05-13 09:55:56,780.73,USD,deposit,Amazon,healthcare,debit_card,completed
TXN_00000193,CUST_000972,2025-03-05 09:55:56,378.29,EUR,refund,Home Depot,utilities,paypal,completed
TXN_00000194,CUST_000256,2025-07-14 09:55:56,35.65,USD,deposit,Walmart,entertainment,paypal,completed
TXN_00000195,CUST_000220,2024-11-01 09:55:56,292.72,GBP,deposit,Best Buy,retail,debit_card,pending
TXN_00000196,CUST_000463,2025-06-14 09:55:56,899.69,USD,purchase,Home Depot,transportation,paypal,completed
TXN_00000197,CUST_000564,2024-12-07 09:55:56,297.46,USD,refund,Target,entertainment,debit_card,completed
TXN_00000198,CUST_000206,2025-07-01 09:55:56,244.37,USD,transfer,Home Depot,utilities,debit_card,completed
TXN_00000199,CUST_000089,2025-08-08 09:55:56,316.2,GBP,deposit,Starbucks,utilities,credit_card,completed
TXN_00000200,CUST_000325,2024-10-17 09:55:56,83.42,USD,transfer,Target,healthcare,debit_card,completed
TXN_00000201,CUST_000133,2025-02-01 09:55:56,507.84,EUR,purchase,Target,entertainment,debit_card,completed
TXN_00000202,CUST_000958,2024-09-12 09:55:56,233.22,GBP,transfer,Walmart,entertainment,debit_card,completed
TXN_00000203,CUST_000565,2025-04-23 09:55:56,133.92,USD,purchase,Target,healthcare,debit_card,completed
TXN_00000204,CUST_000640,2024-11-05 09:55:56,344.24,GBP,purchase,Amazon,retail,credit_card,pending
TXN_00000205,CUST_000790,2024-11-19 09:55:56,272.01,USD,deposit,Amazon,utilities,paypal,completed
TXN_00000206,CUST_000310,2025-01-06 09:55:56,252.43,EUR,deposit,Costco,utilities,credit_card,completed
TXN_00000207,CUST_000162,2025-01-28 09:55:56,421.47,USD,transfer,Target,entertainment,paypal,completed
TXN_00000208,CUST_000882,2025-03-18 09:55:56,975.62,USD,transfer,Walmart,entertainment,debit_card,completed
TXN_00000209,CUST_000274,2025-01-23 09:55:56,255.44,USD,transfer,Starbucks,healthcare,bank_transfer,completed
TXN_00000210,CUST_000887,2025-06-21 09:55:56,815.34,GBP,transfer,Best Buy,food,bank_transfer,failed
TXN_00000211,CUST_000479,2024-12-29 09:55:56,880.28,USD,purchase,Starbucks,healthcare,bank_transfer,failed
TXN_00000212,CUST_000221,2024-11-16 09:55:56,359.37,USD,deposit,McDonald's,entertainment,credit_card,completed
TXN_00000213,CUST_000442,2025-07-04 09:55:56,883.63,EUR,deposit,Home Depot,retail,bank_transfer,completed
TXN_00000214,CUST_000576,2025-06-03 09:55:56,368.9,USD,deposit,McDonald's,healthcare,paypal,completed
TXN_00000215,CUST_000639,2024-09-27 09:55:56,614.93,USD,purchase,Starbucks,entertainment,paypal,completed
TXN_00000216,CUST_000375,2025-06-29 09:55:56,207.07,USD,purchase,Amazon,retail,debit_card,completed
TXN_00000217,CUST_000824,2025-01-11 09:55:56,524.14,USD,refund,Home Depot,healthcare,paypal,completed
TXN_00000218,CUST_000632,2025-04-10 09:55:56,597.79,USD,deposit,Costco,utilities,credit_card,completed
TXN_00000219,CUST_000690,2025-07-16 09:55:56,980.1,USD,purchase,McDonald's,entertainment,debit_card,completed
TXN_00000220,CUST_000598,2025-01-08 09:55:56,178.81,USD,deposit,Target,transportation,debit_card,completed
TXN_00000221,CUST_000971,2024-09-17 09:55:56,118.8,USD,transfer,Starbucks,food,bank_transfer,completed
TXN_00000222,CUST_000421,2024-12-28 09:55:56,777.22,GBP,purchase,Target,healthcare,debit_card,completed
TXN_00000223,CUST_000679,2025-01-09 09:55:56,530.22,USD,refund,McDonald's,healthcare,paypal,completed
TXN_00000224,CUST_000693,2024-09-27 09:55:56,646.88,USD,deposit,Best Buy,food,paypal,completed
TXN_00000225,CUST_000231,2025-04-11 09:55:56,773.46,EUR,deposit,Home Depot,utilities,paypal,completed
TXN_00000226,CUST_000957,2025-04-23 09:55:56,294.91,USD,deposit,Starbucks,entertainment,debit_card,completed
TXN_00000227,CUST_000295,2024-09-10 09:55:56,88.24,GBP,transfer,McDonald's,food,debit_card,completed
TXN_00000228,CUST_000278,2024-11-27 09:55:56,699.21,USD,refund,Best Buy,retail,debit_card,completed
TXN_00000229,CUST_000054,2025-07-21 09:55:56,419.17,EUR,purchase,Target,retail,debit_card,completed
TXN_00000230,CUST_000958,2025-01-10 09:55:56,482.67,USD,transfer,Home Depot,entertainment,credit_card,pending
TXN_00000231,CUST_000092,2024-10-12 09:55:56,578.39,USD,purchase,Target,utilities,debit_card,pending
TXN_00000232,CUST_000038,2025-02-19 09:55:56,790.08,USD,transfer,Amazon,retail,paypal,completed
TXN_00000233,CUST_000110,2025-03-23 09:55:56,291.72,GBP,deposit,Target,healthcare,bank_transfer,completed
TXN_00000234,CUST_000829,2025-07-15 09:55:56,337.38,EUR,transfer,Target,retail,paypal,completed
TXN_00000235,CUST_000582,2024-09-30 09:55:56,759.71,USD,deposit,Starbucks,healthcare,paypal,completed
TXN_00000236,CUST_000686,2025-07-24 09:55:56,192.93,USD,transfer,Best Buy,retail,paypal,completed
TXN_00000237,CUST_000458,2025-04-27 09:55:56,954.49,USD,purchase,Costco,transportation,paypal,completed
TXN_00000238,CUST_000064,2024-10-04 09:55:56,127.04,USD,deposit,Costco,transportation,credit_card,completed
TXN_00000239,CUST_000964,2025-04-12 09:55:56,373.87,USD,refund,McDonald's,food,bank_transfer,completed
TXN_00000240,CUST_000621,2025-03-03 09:55:56,421.69,USD,deposit,Best Buy,food,credit_card,completed
TXN_00000241,CUST_000541,2024-09-15 09:55:56,368.17,GBP,purchase,Amazon,healthcare,debit_card,completed
TXN_00000242,CUST_000154,2025-06-18 09:55:56,334.84,USD,purchase,Best Buy,transportation,bank_transfer,completed
TXN_00000243,CUST_000523,2025-01-25 09:55:56,810.61,USD,deposit,McDonald's,healthcare,credit_card,completed
TXN_00000244,CUST_000689,2025-04-06 09:55:56,726.05,USD,purchase,Best Buy,healthcare,credit_card,completed
TXN_00000245,CUST_000353,2024-09-17 09:55:56,73.12,GBP,purchase,McDonald's,retail,paypal,completed
TXN_00000246,CUST_000788,2025-07-03 09:55:56,768.17,GBP,deposit,Home Depot,utilities,bank_transfer,pending
